ID_особи,Пол,Порода,Дата_Рождения,Родитель_папа,Родитель_мама,Удой л/день,Упитанность,Коэффициент инбридинга (F),Прирост веса кг/день,Здоровье (1-10),Фертильность (%),Генетическая ценность (баллы)
1152,Самка,Айрширская,2023-08-23,6318,3030,"34,95049934",3,"0,15",,10,91,87
1153,Самка,Айрширская,2018-06-04,8783,7018,"22,89675587",4,"0,11",,7,,89
1154,Самка,Швицкая,2022-01-26,8537,0267,"27,78647332",3,"0,18","1,41",5,,77
1155,Самец,Голштинская,2023-03-21,4347,1041,"21,32727734",5,"0,18",,10,75,74
1156,Самка,Симентальская,2020-07-14,2138,2532,,3,"0,13",,9,,80
1157,Самка,Голштинская,2020-06-21,1157,6554,"38,0930637",4,"0,02","1,39",8,90,92
1158,Самка,Герефорд,2021-11-11,1681,6729,,4,"0,17","1,36",9,88,80
1159,Самка,Симентальская,2020-12-18,5681,6695,"29,92471806",4,"0,08",,6,78,86
1160,Самка,Айрширская,2018-10-04,0118,6280,,4,"0,08","1,34",6,,71
1161,Самец,Симентальская,2020-07-03,6592,7643,,5,"0,12","0,85",9,92,79
1162,Самец,Айрширская,2022-07-11,1650,7786,"24,5185392",4,"0,11","1,09",9,94,74
1163,Самка,Герефорд,2023-08-17,0239,6871,"38,57557096",4,"0,17",,10,84,85
1164,Самка,Симентальская,2020-01-08,5203,2809,,4,"0,02","1,48",7,,76
1165,Самец,Герефорд,2021-08-17,7719,2693,"22,91408469",3,"0,13",,7,,87
1166,Самец,Айрширская,2020-07-17,5232,7391,,4,"0,08",,10,85,70
1167,Самка,Симентальская,2018-05-23,7413,4231,,3,"0,12","1,16",8,91,94
1168,Самец,Симентальская,2022-02-15,9726,2587,"36,28653135",5,"0,05","1,25",6,82,77
1169,Самец,Айрширская,2021-05-19,7559,0856,"30,51629403",4,"0,05","0,81",7,,77
1170,Самка,Швицкая,2021-05-20,8153,9671,,3,"0,2",,8,,90
1171,Самец,Швицкая,2022-11-17,0176,3652,"30,81181905",4,"0,06",,5,,87
1172,Самец,Айрширская,2021-07-19,9293,7872,"34,09805409",3,"0,06",,10,89,79
1173,Самец,Голштинская,2019-09-04,9799,1241,,2,"0,01","1,46",7,76,95
1174,Самец,Швицкая,2021-06-06,1124,7930,,4,"0,18",,6,87,72
1175,Самка,Симентальская,2021-09-22,2324,4514,,4,"0,01","0,81",8,88,80
1176,Самка,Айрширская,2020-01-12,2264,3803,,3,"0,1",,7,,72
1177,Самка,Герефорд,2022-04-17,0114,4921,,3,"0,03","0,83",6,92,74
1178,Самец,Швицкая,2022-08-24,9920,9214,,3,"0,13",,7,78,74
1179,Самец,Айрширская,2022-07-25,8351,3495,"30,6958548",4,"0,13",,8,,74
1180,Самка,Голштинская,2022-04-11,6290,3666,"33,07138868",4,"0,19","0,8",9,,81
1181,Самец,Айрширская,2019-01-19,4965,2359,"31,16751677",4,"0,17","1,4",7,,95
1182,Самец,Швицкая,2019-04-18,7115,0622,"25,81255545",3,"0,11","1,49",7,95,82
1183,Самец,Голштинская,2023-05-16,4158,8969,"38,67755246",4,"0,14","1,42",5,,74
1184,Самка,Симентальская,2023-04-25,9314,1545,"32,29139863",3,"0,16",,6,95,76
1185,Самка,Симентальская,2018-11-26,5109,4098,"37,88165596",4,"0,12",,8,,78
1186,Самка,Симентальская,2021-01-02,6662,6508,"30,7141842",4,"0,18",,5,,83
1187,Самец,Голштинская,2022-07-04,1069,3789,"38,98481799",4,"0,11","1,28",6,75,94
1188,Самец,Айрширская,2018-02-28,9724,9883,,3,"0,16","1,47",8,75,79
1189,Самец,Айрширская,2023-09-14,3111,2604,"22,22360009",3,"0,16","1,49",8,93,92
1190,Самка,Симентальская,2018-05-20,0767,5785,,4,"0,05",,7,,95
1191,Самка,Айрширская,2021-07-02,9436,8545,,4,"0,19","1,34",6,,74
1192,Самец,Голштинская,2022-11-09,0260,9328,"24,67254969",4,"0,13",,7,94,84
1193,Самка,Швицкая,2018-09-20,0598,2568,,4,"0,05",,8,,85
1194,Самец,Голштинская,2019-10-13,9760,8801,,4,"0,03",,5,,75
1195,Самец,Швицкая,2022-05-10,3885,2745,"34,48472601",4,"0,1","0,9",9,,93
1196,Самка,Симентальская,2019-04-16,1763,4627,,3,"0,08","1,23",7,,77
1197,Самец,Голштинская,2018-01-27,9384,1335,"20,5780261",5,"0,09",,10,,71
1198,Самка,Голштинская,2023-09-16,4521,4913,"33,27288352",4,"0,16","1,12",8,87,82
1199,Самка,Швицкая,2018-04-18,3965,3064,"24,69520558",4,"0,07",,7,92,93
1200,Самка,Швицкая,2019-01-14,0863,3372,,4,"0,06",,9,,76
1201,Самка,Герефорд,2018-02-23,3220,8836,"33,80251028",3,"0,11","1,3",6,83,90
1202,Самец,Симентальская,2018-07-07,9759,5556,,4,"0,03",,10,,73
1203,Самка,Симентальская,2020-05-21,7907,2095,,4,"0,09",,5,82,75
1204,Самка,Голштинская,2022-12-19,9700,5904,"31,80627081",4,"0,04",,10,,85
1205,Самка,Швицкая,2018-07-26,7439,9796,"29,46294662",4,"0,03",,7,76,90
1206,Самец,Голштинская,2019-04-27,8257,3745,"21,18913464",4,"0,07","1,34",10,,89
1207,Самец,Герефорд,2020-12-26,4195,4631,,4,"0,18",,5,,77
1208,Самка,Герефорд,2022-09-08,7202,3898,,3,"0,15",,7,84,78
1209,Самка,Швицкая,2022-04-23,5961,6808,"24,40799122",4,"0,14","1,18",10,,94
1210,Самка,Герефорд,2023-02-26,1623,7561,,2,"0,12",,7,,78
1211,Самка,Голштинская,2018-10-04,7597,4252,,3,"0,02",,5,87,88
1212,Самка,Герефорд,2018-08-24,2753,0665,"21,70046369",4,"0,07","1,27",7,79,78
1213,Самец,Герефорд,2020-05-13,9057,4495,"23,26625264",5,"0,02","0,8",5,78,84
1214,Самец,Айрширская,2023-08-03,6326,5950,"34,92997587",3,"0,19",,9,89,85
1215,Самка,Симентальская,2023-11-03,8973,9153,"25,19553844",4,"0,03","0,97",7,78,85
1216,Самец,Айрширская,2021-07-24,2843,4811,"38,24670544",5,"0,17",,9,93,93
1217,Самец,Голштинская,2023-06-28,7568,2580,"34,84256173",3,"0,08",,8,83,80
1218,Самка,Голштинская,2020-09-08,7468,8902,"33,14774095",4,"0,07","0,92",9,86,95
1219,Самец,Герефорд,2019-11-27,7325,5544,,4,"0,17","1,23",8,79,78
1220,Самец,Швицкая,2020-03-28,7986,6682,"31,22575521",4,"0,18","0,91",9,87,72
1221,Самка,Швицкая,2023-10-27,0132,1780,,3,"0,15","1,35",7,95,91
1222,Самка,Швицкая,2021-10-13,0130,9522,"31,23965017",4,"0,02","0,87",7,88,87
1223,Самка,Голштинская,2021-04-09,7402,0915,"24,47175539",5,"0,13","1,29",7,88,72
1224,Самка,Швицкая,2022-01-08,8750,5786,"27,17500505",4,"0,02",,5,91,76
1225,Самец,Голштинская,2020-01-01,5998,3500,"38,20776251",3,"0,02","0,94",5,,95
1226,Самец,Симентальская,2018-09-12,9596,1443,,5,"0,19",,8,,79
1227,Самка,Швицкая,2021-01-28,9407,2338,"22,45648627",4,"0,09","0,92",9,78,84
1228,Самка,Айрширская,2020-05-14,2330,3572,"26,44036322",3,"0,03","0,88",8,86,76
1229,Самка,Швицкая,2018-01-18,3214,3706,"37,2467444",2,"0,14",,5,,80
1230,Самка,Голштинская,2022-02-17,2186,5492,"33,01182554",4,"0,14","1,19",9,,75
1231,Самец,Герефорд,2020-05-08,2123,4986,"21,197354",4,"0,13","1,36",6,89,84
1232,Самец,Айрширская,2021-02-09,4893,1788,"25,29834013",4,"0,13",,10,,72
1233,Самец,Айрширская,2022-10-15,4839,6597,,4,"0,18","1,36",6,,82
1234,Самка,Швицкая,2021-01-04,2777,5848,,3,"0,03",,7,89,78
1235,Самка,Голштинская,2023-11-25,8654,2327,"36,84387363",4,"0,05","1,02",9,,84
1236,Самец,Герефорд,2020-03-07,0465,7523,"39,96691462",4,"0,2",,5,76,83
1237,Самка,Симентальская,2019-08-04,6796,8315,,3,"0,13","1,33",7,77,70
1238,Самец,Голштинская,2022-03-06,6008,9783,,4,"0,1","1,29",5,,79
1239,Самка,Герефорд,2021-08-12,5567,8563,"26,32603047",4,"0,05",,9,93,71
1240,Самка,Швицкая,2021-07-03,6804,2738,"22,27704278",4,"0,19",,10,,73
1241,Самец,Герефорд,2023-03-16,8809,0478,"36,33456002",3,"0,19","1,14",9,,79
1242,Самец,Симентальская,2023-05-14,3048,6571,"38,49184827",3,"0,03","1,14",9,88,86
1243,Самец,Айрширская,2019-06-03,5746,6369,"25,52146859",4,"0,08","1,23",5,87,78
1244,Самец,Симентальская,2022-02-25,5212,8157,,3,"0,02",,5,84,90
1245,Самка,Голштинская,2023-01-08,2003,0577,,5,"0,11",,9,92,82
1246,Самец,Швицкая,2023-09-07,1056,7179,"32,17875165",4,"0,2",,10,88,95
1247,Самец,Айрширская,2023-05-11,1703,1597,,3,"0,16",,9,,74
1248,Самка,Айрширская,2019-07-27,3586,6683,,5,"0,04","1,18",8,,87
1249,Самка,Симентальская,2020-02-05,0907,9965,"20,23244058",4,"0,2",,9,,93
1250,Самец,Айрширская,2020-04-26,4991,8208,,4,"0,19",,7,,89
1251,Самец,Голштинская,2022-05-02,8223,4945,"28,37942013",4,"0,01","1,24",6,83,79
1252,Самец,Герефорд,2018-02-07,6043,4363,,4,"0,02",,7,,81
1253,Самка,Айрширская,2022-11-24,8222,8708,"23,39644182",5,"0,03","0,86",9,94,92
1254,Самка,Голштинская,2023-11-02,9259,8217,,4,"0,15","1,27",7,,78
1255,Самка,Швицкая,2022-06-22,4004,3650,"28,41459737",4,"0,17","1,03",5,,78
1256,Самец,Швицкая,2023-02-19,9285,4410,"36,26247602",4,"0,16","1,5",9,,74
1257,Самка,Швицкая,2021-04-27,0081,0593,"32,90975981",4,"0,11",,5,88,84
1258,Самец,Голштинская,2022-02-13,2580,5631,"28,08277049",4,"0,2",,6,,91
1259,Самец,Айрширская,2021-05-05,2810,5246,"32,56776622",4,"0,07",,7,88,95
1260,Самец,Айрширская,2020-12-21,9656,2731,,4,"0,06",,9,,74
1261,Самец,Голштинская,2023-03-21,4938,9411,,3,"0,16",,8,95,77
1262,Самка,Симентальская,2018-11-24,0811,7848,"23,52116631",4,"0,12",,10,,90
1263,Самка,Герефорд,2020-11-25,5291,0783,"28,77854289",4,"0,14",,9,81,79
1264,Самка,Герефорд,2019-12-20,5177,8770,"26,59604331",3,"0,15","1,36",5,,71
1265,Самка,Швицкая,2021-07-10,1466,8271,"33,5769281",4,"0,08",,6,,93
1266,Самка,Айрширская,2020-05-23,2486,3792,,4,"0,19","1,43",6,81,75
1267,Самец,Швицкая,2018-08-20,1820,2475,,4,"0,09",,10,80,76
1268,Самка,Голштинская,2018-05-17,0951,3214,"33,21373628",3,"0,08","1,2",8,,89
1269,Самка,Швицкая,2019-02-10,1282,1905,,3,"0,08","1,02",9,92,72
1270,Самец,Симентальская,2023-07-26,9398,8043,,3,"0,19","1,17",10,93,90
1271,Самка,Симентальская,2018-01-11,4621,9123,,3,"0,14",,5,,88
1272,Самец,Голштинская,2021-11-11,2984,6695,"34,16479336",4,"0,03","1,2",9,87,77
1273,Самка,Симентальская,2021-02-09,4837,5256,"35,63183094",3,"0,06","1,16",10,,89
1274,Самец,Симентальская,2022-03-27,6064,7090,"32,85115151",4,"0,06","1,15",6,82,80
1275,Самец,Голштинская,2022-03-18,6083,6112,"24,53273208",3,"0,12",,6,94,85
1276,Самец,Герефорд,2022-04-02,1855,9803,,3,"0,12",,7,,78
1277,Самка,Швицкая,2019-03-20,8785,0087,"26,42987152",4,"0,14",,10,,91
1278,Самец,Айрширская,2021-11-11,5507,4024,,4,"0,03","1,42",6,76,89
1279,Самец,Герефорд,2021-10-18,8305,1364,"33,33506108",2,"0,07","0,84",7,92,70
1280,Самка,Симентальская,2019-10-13,0403,8973,,4,"0,16","1,33",5,92,78
1281,Самка,Симентальская,2019-07-09,1318,9424,"21,46518495",4,"0,02",,5,,74
1282,Самка,Симентальская,2023-02-22,7726,7701,"28,36931954",3,"0,17","0,93",5,,74
1283,Самец,Швицкая,2019-08-20,5267,9216,,4,"0,09",,9,77,80
1284,Самец,Голштинская,2020-10-01,7113,2861,"24,23135752",4,"0,08","1,09",5,,90
1285,Самец,Швицкая,2018-05-26,4354,5272,"20,05716216",3,"0,07",,10,95,90
1286,Самец,Айрширская,2020-02-28,4449,6498,,4,"0,18",,8,,75
1287,Самец,Швицкая,2021-09-23,0593,4989,,4,"0,11",,7,83,94
1288,Самка,Герефорд,2020-09-19,2916,7983,,2,"0,11",,5,,70
1289,Самец,Симентальская,2020-01-04,8675,4627,,4,"0,15","0,96",7,,88
1290,Самка,Айрширская,2019-02-25,0726,0004,,4,"0,05","1,15",7,92,91
1291,Самка,Швицкая,2018-04-24,3593,9727,"31,75893628",2,"0,08",1,10,,93
1292,Самка,Голштинская,2019-04-04,0824,3361,"27,285642",4,"0,07","1,37",5,92,75
1293,Самец,Симентальская,2021-09-22,0177,6556,,3,"0,16","1,13",9,84,83
1294,Самец,Голштинская,2019-03-12,1217,2835,"21,56891987",4,"0,12",,9,,72
1295,Самка,Швицкая,2019-03-27,8350,5368,,4,"0,13","1,5",5,81,86
1296,Самец,Герефорд,2021-09-23,2771,1043,,4,"0,16","0,98",6,78,89
1297,Самка,Герефорд,2023-08-03,4639,8434,"30,32708939",4,"0,16","1,23",9,77,91
1298,Самец,Швицкая,2019-03-21,7481,1298,,3,"0,11","1,11",7,,91
1299,Самец,Голштинская,2021-02-15,5773,2551,,4,"0,05","1,24",10,91,76
1300,Самец,Голштинская,2019-06-28,7471,4137,"35,30152891",4,"0,14",,5,,70
1301,Самец,Голштинская,2020-12-01,6302,8500,,4,"0,07",,5,,75
1302,Самка,Голштинская,2021-09-03,5788,2114,,4,"0,12","0,88",7,94,77
1303,Самка,Швицкая,2021-03-04,3039,4375,,4,"0,1","1,48",9,89,83
1304,Самка,Голштинская,2020-02-04,9955,9966,,3,"0,03","1,29",10,,95
1305,Самец,Симентальская,2019-02-01,6677,8986,"35,32562118",3,"0,08",,7,77,87
1306,Самец,Швицкая,2019-12-05,5277,6064,"32,5661741",4,"0,11",,10,,95
1307,Самка,Голштинская,2018-11-24,9319,5836,,4,"0,04","1,28",9,,95
1308,Самка,Швицкая,2018-02-18,5984,0845,,3,"0,05",,9,,84
1309,Самец,Швицкая,2022-08-28,4081,0515,,4,"0,06",,5,,77
1310,Самец,Симентальская,2021-05-28,5833,2591,,3,"0,03","0,93",10,,93
1311,Самец,Герефорд,2021-09-04,9779,2085,,4,"0,2",,7,,71
1312,Самец,Швицкая,2023-01-22,2392,8820,,3,"0,13",,7,,78
1313,Самец,Голштинская,2023-09-28,5085,6243,,4,"0,12","1,24",10,,87
1314,Самец,Швицкая,2019-10-19,6744,1154,"29,2569338",3,"0,13",,6,,95
1315,Самка,Айрширская,2019-01-27,0462,4243,"28,99261902",4,"0,18","1,1",5,,83
1316,Самка,Айрширская,2021-04-01,4551,8413,"35,48224784",3,"0,17",,6,95,88
1317,Самка,Швицкая,2023-09-14,7078,9296,"39,20692169",3,"0,12","1,27",5,85,73
1318,Самка,Швицкая,2021-03-12,9478,7549,"22,53233498",4,"0,08","1,03",8,,70
1319,Самец,Герефорд,2019-08-19,0863,7208,"22,95759297",3,"0,17","1,12",10,89,84
1320,Самка,Голштинская,2023-01-20,8094,2714,,4,"0,1","1,46",9,81,91
1321,Самка,Айрширская,2022-04-17,5292,9186,"26,19120658",5,"0,19",,5,86,92
1322,Самка,Голштинская,2021-09-14,0495,1679,"30,90700847",4,"0,17",,7,,95
1323,Самец,Айрширская,2021-03-27,5862,4255,,4,"0,06","1,24",7,,81
1324,Самка,Айрширская,2018-12-26,2114,5238,"39,54294961",4,"0,19",,10,86,84
1325,Самец,Герефорд,2022-01-20,2355,1685,,4,"0,11","1,24",7,95,85
1326,Самка,Герефорд,2023-01-03,9441,0369,,4,"0,18",,10,85,78
1327,Самец,Герефорд,2022-06-08,8489,9207,"36,34369089",4,"0,18","1,35",7,86,91
1328,Самка,Голштинская,2023-06-15,9034,7995,,4,"0,12",,5,,92
1329,Самец,Герефорд,2022-05-22,0197,0732,,4,"0,04",,6,,73
1330,Самка,Швицкая,2023-03-20,4361,2586,"29,97445871",4,"0,02",,7,,71
1331,Самка,Айрширская,2018-07-02,7285,1623,,3,"0,14",,10,,90
1332,Самка,Герефорд,2018-09-25,2511,3361,,5,"0,01",,5,78,90
1333,Самец,Герефорд,2023-11-17,6700,2277,"38,68409951",3,"0,05",,7,,90
1334,Самка,Симентальская,2018-12-06,5103,6218,"22,09723027",4,"0,16",,5,94,94
1335,Самка,Симентальская,2022-10-23,8248,9404,,4,"0,09","0,91",7,84,80
1336,Самка,Айрширская,2023-09-06,7683,8439,,5,"0,05","1,21",9,84,95
1337,Самец,Герефорд,2019-11-06,2282,3727,"33,71675379",4,"0,14","0,93",7,,72
1338,Самка,Швицкая,2018-07-16,4566,0248,"22,78279814",3,"0,18",,10,,92
1339,Самка,Симентальская,2022-01-15,4785,1773,"25,73534394",3,"0,19",,9,80,94
1340,Самец,Герефорд,2021-01-02,5589,9287,"30,80414445",4,"0,19","0,87",9,81,85
1341,Самка,Голштинская,2022-09-04,5845,3515,,4,"0,08","0,83",7,,71
1342,Самка,Симентальская,2019-10-19,3156,4167,,3,"0,07","1,2",7,,75
1343,Самец,Голштинская,2023-05-26,6693,9809,"26,60725923",3,"0,1",,10,90,80
1344,Самка,Симентальская,2023-04-13,9842,5593,"25,68200759",4,"0,11","1,08",6,87,74
1345,Самка,Швицкая,2019-06-20,5159,1379,"29,50508567",4,"0,19",,8,91,94
1346,Самец,Симентальская,2022-10-25,4629,0193,,3,"0,03","1,06",6,,90
1347,Самка,Симентальская,2020-08-02,8172,5721,,4,"0,04",,5,83,82
1348,Самка,Герефорд,2023-01-28,4145,9615,,4,"0,11","1,42",6,77,82
1349,Самка,Айрширская,2018-07-22,5653,8133,"35,2908121",4,"0,03","1,35",10,87,82
1350,Самка,Симентальская,2020-02-25,0730,7910,,4,"0,17","1,25",7,,75
1351,Самка,Голштинская,2021-11-11,2784,6547,,5,"0,02",,9,87,83
1352,Самец,Симентальская,2020-10-24,6128,6356,,4,"0,13",,6,91,95
1353,Самка,Голштинская,2018-11-25,3572,0397,"26,80089171",3,"0,2","0,91",9,,84
1354,Самка,Швицкая,2023-12-24,9953,1551,,4,"0,18","1,45",6,,80
1355,Самка,Швицкая,2022-08-13,6741,3535,"29,26569718",2,"0,13","0,91",10,77,93
1356,Самец,Симентальская,2018-05-21,3277,2124,"25,53572455",4,"0,09",,8,79,71
1357,Самец,Герефорд,2022-04-14,6026,1580,,4,"0,06",,8,84,74
1358,Самка,Голштинская,2023-10-02,1542,1407,"20,15299323",3,"0,09",,10,76,77
1359,Самка,Голштинская,2018-05-14,8128,7872,"37,77559934",4,"0,09","1,33",7,,86
1360,Самка,Швицкая,2022-12-25,2194,2988,,4,"0,07","1,34",10,,81
1361,Самец,Швицкая,2022-11-23,7438,4319,,3,"0,17",,6,85,75
1362,Самец,Голштинская,2018-04-12,5483,0420,,4,"0,15",,6,83,85
1363,Самец,Голштинская,2018-01-08,2255,5472,"20,438106",4,"0,13","1,29",5,90,92
1364,Самка,Симентальская,2021-11-01,5157,2081,,2,"0,03","1,24",6,90,83
1365,Самец,Айрширская,2022-10-03,3667,7861,,3,"0,03",,7,83,93
1366,Самец,Швицкая,2018-03-02,8760,9721,"38,43145115",4,"0,12",,10,,92
1367,Самец,Симентальская,2022-07-18,5023,3456,"24,97013452",4,"0,18",,10,,89
1368,Самец,Симентальская,2019-04-06,5416,4633,"24,45778244",3,"0,06","1,17",9,,71
1369,Самка,Герефорд,2021-07-16,6179,2260,"36,88093867",4,"0,11",,9,80,74
1370,Самка,Швицкая,2019-04-25,1255,7643,"35,69592302",3,"0,18",,5,79,73
1371,Самец,Айрширская,2019-12-22,0950,7590,"30,86877163",3,"0,19",,8,82,86
1372,Самка,Голштинская,2018-02-11,4791,9336,"22,77322273",4,"0,04",,7,82,80
1373,Самка,Айрширская,2023-01-05,0436,6662,"35,60801895",3,"0,1",1,6,,74
1374,Самец,Голштинская,2019-01-24,3355,3545,,5,"0,04","1,44",8,80,87
1375,Самка,Швицкая,2023-04-15,7730,6267,"33,38724668",3,"0,09",,8,94,92
1376,Самка,Айрширская,2023-02-02,1886,6300,,4,"0,01","1,36",10,,94
1377,Самец,Швицкая,2018-06-01,7789,6092,"21,831107",5,"0,05",,8,,86
1378,Самка,Симентальская,2020-09-11,2149,0601,"22,8997525",3,"0,15","1,12",8,93,82
1379,Самец,Айрширская,2023-08-19,8647,5672,"38,8963512",3,"0,04","1,03",5,,80
1380,Самка,Голштинская,2022-05-12,4631,2751,"32,32016476",4,"0,1",,8,,76
1381,Самка,Айрширская,2020-06-06,1080,4246,,2,"0,05","1,33",5,95,82
1382,Самка,Симентальская,2018-04-19,5853,4350,,3,"0,07","1,36",9,81,92
1383,Самец,Айрширская,2018-12-07,2694,5972,"24,78977338",4,"0,06",,9,93,93
1384,Самка,Айрширская,2018-08-23,2189,6004,,4,"0,05",,9,,75
1385,Самка,Герефорд,2022-04-08,6093,5020,"38,45443128",4,"0,12","1,31",9,87,82
1386,Самка,Симентальская,2018-12-22,2874,9909,"22,81895924",2,"0,07","1,31",6,,70
1387,Самец,Герефорд,2023-03-24,9679,5399,"33,80261071",4,"0,17",,8,,70
1388,Самка,Симентальская,2022-11-03,4231,9972,,4,"0,15","1,06",7,,92
1389,Самец,Симентальская,2019-03-01,0239,4054,,3,"0,13","1,3",8,,85
1390,Самец,Голштинская,2022-11-03,8026,1940,"39,74532569",4,"0,14",,9,89,77
1391,Самец,Айрширская,2020-06-22,7124,8876,"39,99666325",4,"0,14","0,97",5,80,88
1392,Самка,Голштинская,2020-10-10,5862,4697,"21,64064803",5,"0,12",,7,81,73
1393,Самка,Айрширская,2019-04-26,3845,9497,"22,40351347",5,"0,16","0,84",6,,70
1394,Самец,Швицкая,2020-01-08,7391,8650,,4,"0,02",,10,95,81
1395,Самка,Симентальская,2019-05-24,1081,3435,"38,92497355",4,"0,12","1,33",7,91,89
1396,Самка,Симентальская,2022-11-19,5320,7785,,3,"0,09","0,94",10,,89
1397,Самец,Голштинская,2019-11-23,6984,6815,,3,"0,16",,7,87,71
1398,Самец,Голштинская,2022-01-16,0823,2593,,4,"0,17","1,04",9,,77
1399,Самец,Симентальская,2019-06-16,4381,6438,,4,"0,15","1,16",9,,75
1400,Самка,Симентальская,2020-03-19,5129,2046,"32,83732918",3,"0,05",,8,,81
1401,Самка,Айрширская,2019-08-12,7605,6168,"27,54604062",5,"0,02",,10,79,80
1402,Самка,Голштинская,2021-10-18,2021,3521,"31,67439597",3,"0,17","1,47",10,79,76
1403,Самец,Голштинская,2022-11-01,9529,3634,"37,72888255",3,"0,16","1,02",9,90,74
1404,Самец,Герефорд,2020-10-20,0755,3408,,3,"0,12",,9,,94
1405,Самец,Симентальская,2021-02-24,1551,1452,"38,91465076",3,"0,02",,5,,88
1406,Самец,Швицкая,2020-10-20,0602,6797,,3,"0,14",,9,,73
1407,Самка,Герефорд,2022-03-03,3781,9974,,4,"0,18","0,91",5,95,70
1408,Самец,Голштинская,2018-09-22,8123,8077,,3,"0,16","1,36",8,,83
1409,Самец,Швицкая,2023-07-28,9451,1702,"30,21967322",3,"0,09",,10,80,78
1410,Самка,Симентальская,2020-11-25,4853,8169,,5,"0,05",,6,,78
1411,Самец,Швицкая,2022-02-28,9337,5779,"23,48786093",4,"0,15",,10,,87
1412,Самка,Айрширская,2023-04-05,1031,4930,"24,05421808",4,"0,14",,7,,83
1413,Самец,Герефорд,2023-03-23,1489,1895,,2,"0,08","1,19",9,,89
1414,Самец,Симентальская,2018-06-14,3470,9687,,5,"0,07","1,32",9,,71
1415,Самка,Герефорд,2019-12-20,8759,2023,"21,75558303",2,"0,07","0,87",9,84,94
1416,Самец,Айрширская,2020-02-01,4225,0906,,4,"0,05",,5,,89
1417,Самка,Герефорд,2023-05-12,4935,0243,,5,"0,14","1,07",7,75,92
1418,Самец,Голштинская,2019-09-02,3209,2243,"20,8391361",4,"0,07",,8,,87
1419,Самка,Айрширская,2023-06-21,1488,9404,,3,"0,12",,6,75,87
1420,Самка,Швицкая,2019-09-12,2850,5176,,4,"0,14","1,24",5,87,76
1421,Самец,Герефорд,2021-07-09,8751,6154,,4,"0,07","0,96",10,77,93
1422,Самец,Швицкая,2023-11-05,0032,1529,"23,80402613",4,"0,13",,9,81,82
1423,Самка,Айрширская,2021-12-26,6651,5510,"39,90302478",4,"0,15",,10,85,73
1424,Самец,Симентальская,2021-02-03,0021,3878,"38,26773189",4,"0,18","1,07",10,,81
1425,Самка,Айрширская,2022-03-26,8372,7070,"20,31540635",3,"0,11",,8,94,95
1426,Самка,Герефорд,2023-07-17,4575,5075,,3,"0,11","1,37",8,88,90
1427,Самец,Симентальская,2019-08-21,1362,9498,"24,1105367",3,"0,04",,8,89,78
1428,Самка,Голштинская,2023-03-03,9508,6789,"37,381887",4,"0,15","1,38",8,,72
1429,Самец,Швицкая,2019-03-15,9648,4288,"32,68388471",3,"0,03","1,47",5,92,76
1430,Самка,Голштинская,2018-12-20,8459,2835,,3,"0,08",,5,,95
1431,Самец,Голштинская,2021-01-15,9055,8196,,3,"0,12","1,02",7,,90
1432,Самец,Голштинская,2018-10-10,1752,3557,"25,23693669",4,"0,03","1,12",5,80,79
1433,Самец,Симентальская,2020-07-12,3329,7688,,4,"0,16","1,24",9,,71
1434,Самка,Айрширская,2020-05-02,9369,1651,"22,05770986",3,"0,17","1,39",8,,78
1435,Самка,Швицкая,2019-08-06,8742,9604,"36,91392184",3,"0,14",1,5,90,94
1436,Самец,Айрширская,2022-01-16,8056,5554,"37,74181287",3,"0,08",,6,,92
1437,Самец,Герефорд,2021-03-07,9818,4259,,3,"0,13","0,83",9,,72
1438,Самка,Айрширская,2022-02-21,2790,4792,,3,"0,15",,8,,78
1439,Самка,Айрширская,2022-03-03,0297,4133,,4,"0,17","0,87",9,80,80
1440,Самец,Швицкая,2019-03-28,4802,7663,,4,"0,06",,8,81,79
1441,Самец,Герефорд,2020-04-16,9640,1785,"28,83796361",4,"0,19","1,22",5,,86
1442,Самец,Герефорд,2019-08-12,9928,6704,,3,"0,13",,5,77,85
1443,Самка,Швицкая,2019-11-12,0425,1099,,2,"0,16","0,92",10,85,70
1444,Самец,Голштинская,2020-12-17,7216,3939,"25,89248969",4,"0,08","1,08",8,,72
1445,Самец,Голштинская,2020-01-11,9904,6311,"22,96668012",4,"0,2","1,45",9,79,81
1446,Самец,Айрширская,2020-08-17,9693,8333,,4,"0,19","1,37",5,,76
1447,Самец,Айрширская,2020-05-16,5047,5387,"28,86902648",3,"0,2",,5,,86
1448,Самка,Айрширская,2022-07-27,1641,3327,"34,65621409",4,"0,03",,5,91,93
1449,Самка,Герефорд,2018-11-15,0029,4415,,2,"0,17",,7,,71
1450,Самец,Герефорд,2019-09-24,2997,5433,,3,"0,1","0,97",10,,93
1451,Самка,Айрширская,2018-07-24,6674,9980,"39,34470115",3,"0,08",1,6,82,79
1452,Самка,Айрширская,2021-09-24,0373,0170,"26,31748141",3,"0,08",,10,83,84
1453,Самка,Швицкая,2018-04-06,8058,7787,,4,"0,11",,10,,78
1454,Самка,Швицкая,2020-06-04,2884,3339,"32,86752772",2,"0,04","1,18",7,,88
1455,Самка,Голштинская,2018-04-17,0325,2074,"32,63955472",4,"0,12","0,84",8,91,90
1456,Самец,Герефорд,2019-06-13,1836,6563,"23,29905069",4,"0,11","1,48",6,,71
1457,Самец,Айрширская,2023-05-26,2198,4092,"25,82675178",3,"0,03","1,45",7,76,76
